r,c,ct_0
2.0,0.0,0.0
2.0,13.0,1.0
2.0,14.0,1.0
2.0,15.0,0.0
2.0,16.0,0.0
2.0,17.0,0.0
2.0,18.0,0.0
2.0,19.0,0.0
3.0,0.0,0.0
3.0,13.0,1.0
3.0,14.0,1.0
3.0,15.0,0.0
3.0,16.0,0.0
3.0,17.0,0.0
3.0,18.0,0.0
3.0,19.0,0.0
4.0,0.0,0.0
4.0,13.0,1.0
4.0,14.0,1.0
4.0,15.0,0.0
4.0,16.0,0.0
4.0,17.0,0.0
4.0,18.0,0.0
4.0,19.0,0.0
5.0,0.0,0.0
5.0,13.0,1.0
5.0,14.0,1.0
5.0,15.0,0.0
5.0,16.0,0.0
5.0,17.0,0.0
5.0,18.0,0.0
5.0,19.0,0.0
6.0,0.0,0.0
6.0,13.0,1.0
6.0,14.0,1.0
6.0,15.0,0.0
6.0,16.0,0.0
6.0,17.0,0.0
6.0,18.0,0.0
6.0,19.0,0.0
7.0,0.0,0.0
7.0,14.0,0.0
7.0,15.0,0.0
7.0,16.0,0.0
7.0,17.0,0.0
7.0,18.0,0.0
7.0,19.0,0.0
